ID,Title,Authors,Journal,Year,Citations_RSCI,Industry,Source,Primary_Subject
1,ИСТОРИЯ УПРАВЛЕНЧЕСКОЙ МЫСЛИ,"Бобылева А.З., Аньшин В.М.",Вопросы экономики,2022,0.0,Экономика,eLibrary,
2,"EUROPEAN JOURNAL OF INTERNATIONAL MANAGEMENT: PAST, PRESENT AND FUTURE","Kumar S., Paltrinieri A., Lim W.M., Pandey N., Mukherjee D.",European Journal of International Management,2022,2.0,Экономика,eLibrary,
3,:SOCIAL DEMOCRATIC CAPITALISM,Dixon M.,American Journal of Sociology,2024,0.0,Экономика,eLibrary,
4,"РЕЦЕНЗИЯ НА МОНОГРАФИЮ В. В. БРЕЖНЕВОЙ, Р. С. ГИЛЯРЕВСКОГО, Е. Д. ЖАБКО ""ИНФОРМАЦИОННЫЙ МЕНЕДЖМЕНТ: ТЕОРИЯ И МЕТОДОЛОГИЯ""",Шрайберг Я.Л.,Научные и технические библиотеки,2020,0.0,Технологии,eLibrary,
5,УПРАВЛЕНЧЕСКИЕ ПРОЦЕССЫ СТАНОВЛЕНИЯ МЕСТНЫХ И ОБЩЕСТВЕННЫХ ФИНАНСОВ,"Хамурадов М.А., Гачаев А.М., Михайлов М.А., Забайкин Ю.В.",Вопросы истории,2021,0.0,Менеджмент,eLibrary,
6,"РАЗМЫШЛЕНИЯ АВТОРИТЕТНОГО ГОСУПРАВЛЕНЦА О ПОЗДНЕСОВЕТСКОЙ И ПОСТСОВЕТСКОЙ ЭВОЛЮЦИИ СИСТЕМЫ ГОСУДАРСТВЕННОГО ЭКОНОМИЧЕСКОГО УПРАВЛЕНИЯ [ПО ПОВОДУ КНИГИ Е.А. ИВАНОВА ""НУЖЕН ПОИСК НОВОЙ МОДЕЛИ ГОСУДАРСТВЕННОГО УПРАВЛЕНИЯ ЭКОНОМИКОЙ (А НЕЛЬЗЯ ЛИ ДЛЯ ЭТОГО ЧТО-НИБУДЬ ВЗЯТЬ ИЗ СОВЕТСКОГО ПЛАНИРОВАНИЯ?)""]",Любинин А.Б.,Российский экономический журнал,2020,0.0,Менеджмент,eLibrary,
7,ЛИЧНЫЙ ФОНД: ПЕРСПЕКТИВНОЕ РЕШЕНИЕ ДЛЯ УПРАВЛЕНИЯ АКТИВАМИ,"Маргулис Р.Л., Маргулис Ю.В.",Закон,2024,3.0,Менеджмент,eLibrary,
8,"НАУЧНО И ПРАКТИЧЕСКИ ЗНАЧИМАЯ РАЗРАБОТКА КРУПНОЙ И АКТУАЛЬНОЙ ЭКОНОМИКО-УПРАВЛЕНЧЕСКОЙ ТЕМЫ (О КНИГЕ Ю.Б. ВИНСЛАВА ""УПРАВЛЕНИЕ ИНТЕГРИРОВАННЫМИ СТРУКТУРАМИ: ТЕОРЕТИЧЕСКИЕ И МЕТОДИЧЕСКИЕ АСПЕКТЫ"")",Дементьев В.Е.,Российский экономический журнал,2020,2.0,Экономика,eLibrary,
9,"ЦЕННОЕ ПОДСПОРЬЕ ДЛЯ ИЗУЧАЮЩИХ И ПРЕПОДАЮЩИХ В МАГИСТРАТУРАХ ЭКОНОМИКО-УПРАВЛЕНЧЕСКИЕ ДИСЦИПЛИНЫ (О КНИГЕ С.Ю. ГЛАЗЬЕВА ""УПРАВЛЕНИЕ РАЗВИТИЕМ ЭКОНОМИКИ: КУРС ЛЕКЦИЙ"")",Устюжанина Е.В.,Российский экономический журнал,2021,0.0,Экономика,eLibrary,
10,LEGAL MECHANISMS OF PUBLIC MANAGEMENT OF FINANCIAL AND ECONOMIC PROCESSES,"Shkapin D., Burchak Ya., Melnyk S., Tartachnyk Yu., Bashinsky O., Agarkov V.",Edelweiss Applied Science and Technology,2024,0.0,Экономика,eLibrary,
11,:MANAGEMENT DIVIDED: CONTRADICTIONS OF LABOR MANAGEMENT,Wilmers N.E.,American Journal of Sociology,2024,0.0,Экономика,eLibrary,
12,ВЕЧНО СЕГОДНЯШНИЕ,Стефанович Д.В.,Россия в глобальной политике,2021,4.0,Экономика,eLibrary,
13,REVIEW OF POLITICAL ECONOMY AT 35,Rochon L.Ph.,Review of Political Economy,2023,3.0,Экономика,eLibrary,
14,ИНСТИТУТ ФИЛОСОФИИ И ФИЛОСОФИЯ ИНСТИТУТОВ,Рубцов А.В.,Вопросы философии,2022,0.0,Экономика,eLibrary,
15,METHODOLOGICAL APPROACHES TO MANAGEMENT MAKING IN AN INDUSTRIAL ENTERPRISE,Tkachova T.,Журнал нано- и электронной физики,2020,0.0,Экономика,eLibrary,
16,"РЕЦЕНЗИЯ НА МОНОГРАФИЮ Р.А. КАСЬЯНОВА ""РЕГУЛИРОВАНИЕ РЫНКА ФИНАНСОВЫХ УСЛУГ В ЕС И ЕАЭС"". МОСКВА : МГИМО (V) МИД РОССИИ, 2021. 749 С",Шохин С.О.,Банковское право,2021,0.0,Экономика,eLibrary,
17,О ПОВЫШЕНИИ КАЧЕСТВА УПРАВЛЕНЧЕСКИХ РЕШЕНИЙ ДЛЯ ОБЕСПЕЧЕНИЯ РЕЗУЛЬТАТИВНОГО РАЗВИТИЯ ЭКОНОМИКИ. ЧАСТЬ 3,Николаев С.Н.,Стандарты и качество,2024,0.0,Экономика,eLibrary,
18,ФИЛОСОФСКИЕ АСПЕКТЫ ЭКОНОМИКИ ДАРА,Асташова Н.Д.,Вестник Томского государственного университета,2022,0.0,Экономика,eLibrary,
19,:TECHNOLOGY IN THE INDUSTRIAL REVOLUTION,Slaton A.,Isis,2022,1.0,Экономика,eLibrary,
20,МЕНЕДЖМЕНТ ХХІ ВЕКА: КАКИМ ОН МОЖЕТ БЫТЬ?,"Иванова С.А., Митрофанов Н.А., Мухина И.К.",Стандарты и качество,2024,1.0,Менеджмент,eLibrary,
21,"THE HISTORY OF FINANCIAL TECHNOLOGY AND REGULATION: FROM AMERICAN INCORPORATION TO CRYPTOCURRENCY AND CROWDFUNDING. BY SETH C. ORANBURG. CAMBRIDGE, UK: CAMBRIDGE UNIVERSITY PRESS, 2022. 250 PP. FIGURES, INDEX. PAPER, $39.99. ISBN: 978-1-316-60730-5",Rötheli T.F.,Business History Review,2022,0.0,Экономика,eLibrary,
22,ГАРАНТИЯ СПРОСА: ПАЛЛИАТИВ ИЛИ ВЫХОД ИЗ СТАГНАЦИОННОЙ ЛОВУШКИ?,Алексеев А.В.,ЭКО,2023,4.0,Экономика,eLibrary,
23,"""РЕАЛЬНАЯ УТОПИЯ"" БЕЗ БРЕХНИ.КАК СВЯЗАТЬ ПРАВО, ЭТИКУ И БАЗОВЫЙ ДОХОД?",Павлов А.В.,Журнал исследований социальной политики,2021,0.0,Экономика,eLibrary,
24,"ИГРАЯ В ПРЯТКИ С ЛЕВИАФАНОМ. РЕЦЕНЗИЯ НА КНИГУ: ХЛЕВНЮК О. В. КОРПОРАЦИЯ САМОЗВАНЦЕВ. ТЕНЕВАЯ ЭКОНОМИКА И КОРРУПЦИЯ В СТАЛИНСКОМ СССР. М., 2023",Орав В.А.,Петербургский исторический журнал,2024,0.0,Экономика,eLibrary,
25,КУЛЬТУРА ПРОТИВ ЭКОНОМИКИ: АМОРАЛЬНЫЙ ФАМИЛИЗМ И ГНЕТУЩАЯ ПОВСЕДНЕВНОСТЬ,Ушкин С.,Социологическое обозрение,2020,1.0,Экономика,eLibrary,
26,СУБЪЕКТИВНО О СУБЪЕКТАХ,"Смелов В.Ю., Шпер В.Л., Хунузиди Е.И., Яковлева А.С.",Стандарты и качество,2023,2.0,Экономика,eLibrary,
27,ФУНДАМЕНТАЛЬНАЯ ПОЛИТЭКОНОМИЧЕСКАЯ ОСОБЕННОСТЬ ГОРНОДОБЫВАЮЩЕГО БИЗНЕСА,"Пономарев В.П., Пучков А.Л.",Уголь,2024,0.0,Экономика,eLibrary,
28,ЧТО ПЕРВИЧНО: ОПРЕДЕЛЕННОСТЬ ЦЕЛЕЙ ИЛИ ОГРАНИЧЕННОСТЬ СРЕДСТВ?,Гребнев Л.С.,Вопросы экономики,2024,7.0,Экономика,eLibrary,
29,ТРАНСФОРМАЦИЯ ЭКОНОМИЧЕСКОЙ И ФИНАНСОВОЙ СТРУКТУР МИРА: ВОЗДЕЙСТВИЕ РАСТУЩИХ ШОКОВ КАТАСТРОФ,Миркин Я.М.,"Контуры глобальных трансформаций: политика, экономика, право",2020,42.0,Экономика,eLibrary,
